hour_utc,constellation,n_catalogued,n_above,mean_simultaneous,max_simultaneous
2024-04-20T00:00:00Z,GPS,75,28,21.083333333333332,26
2024-04-20T00:00:00Z,GLONASS,143,46,40.05,42
2024-04-20T00:00:00Z,Galileo,28,8,7.383333333333334,8
2024-04-20T00:00:00Z,BeiDou,54,18,17.183333333333334,18
2024-04-20T00:00:00Z,NavIC,9,5,5.0,5
2024-04-20T00:00:00Z,QZSS,5,0,0.0,0
2024-04-20T00:00:00Z,Iridium,109,23,2.683333333333333,6
2024-04-20T00:00:00Z,Globalstar,85,32,7.1,10
2024-04-20T00:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T00:00:00Z,Starlink,5819,1246,124.26666666666667,139
2024-04-20T00:00:00Z,OneWeb,634,131,21.166666666666668,25
2024-04-20T01:00:00Z,GPS,75,31,25.366666666666667,27
2024-04-20T01:00:00Z,GLONASS,143,49,38.6,41
2024-04-20T01:00:00Z,Galileo,28,11,8.566666666666666,10
2024-04-20T01:00:00Z,BeiDou,54,19,17.233333333333334,18
2024-04-20T01:00:00Z,NavIC,9,5,5.0,5
2024-04-20T01:00:00Z,QZSS,5,0,0.0,0
2024-04-20T01:00:00Z,Iridium,109,22,2.9166666666666665,5
2024-04-20T01:00:00Z,Globalstar,85,25,5.016666666666667,9
2024-04-20T01:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T01:00:00Z,Starlink,5819,1184,114.68333333333334,145
2024-04-20T01:00:00Z,OneWeb,634,129,21.433333333333334,25
2024-04-20T02:00:00Z,GPS,75,29,24.216666666666665,25
2024-04-20T02:00:00Z,GLONASS,143,53,40.65,48
2024-04-20T02:00:00Z,Galileo,28,12,9.85,11
2024-04-20T02:00:00Z,BeiDou,54,17,15.866666666666667,17
2024-04-20T02:00:00Z,NavIC,9,5,5.0,5
2024-04-20T02:00:00Z,QZSS,5,0,0.0,0
2024-04-20T02:00:00Z,Iridium,109,19,1.9333333333333333,4
2024-04-20T02:00:00Z,Globalstar,85,32,7.133333333333334,10
2024-04-20T02:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T02:00:00Z,Starlink,5819,1187,114.13333333333334,131
2024-04-20T02:00:00Z,OneWeb,634,127,20.683333333333334,24
2024-04-20T03:00:00Z,GPS,75,29,25.166666666666668,26
2024-04-20T03:00:00Z,GLONASS,143,59,47.65,51
2024-04-20T03:00:00Z,Galileo,28,11,10.866666666666667,11
2024-04-20T03:00:00Z,BeiDou,54,19,15.333333333333334,18
2024-04-20T03:00:00Z,NavIC,9,5,5.0,5
