hour_utc,constellation,n_catalogued,n_above,mean_simultaneous,max_simultaneous
2024-05-10T00:00:00Z,GPS,75,22,18.533333333333335,19
2024-05-10T00:00:00Z,GLONASS,143,58,47.45,50
2024-05-10T00:00:00Z,Galileo,28,10,8.35,9
2024-05-10T00:00:00Z,BeiDou,53,17,15.583333333333334,16
2024-05-10T00:00:00Z,NavIC,7,3,3.0,3
2024-05-10T00:00:00Z,QZSS,4,0,0.0,0
2024-05-10T00:00:00Z,Iridium,109,22,2.3,4
2024-05-10T00:00:00Z,Globalstar,85,23,4.9,9
2024-05-10T00:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T00:00:00Z,Starlink,5920,1167,115.23333333333333,129
2024-05-10T00:00:00Z,OneWeb,634,127,20.966666666666665,24
2024-05-10T01:00:00Z,GPS,75,21,18.166666666666668,19
2024-05-10T01:00:00Z,GLONASS,143,53,46.43333333333333,49
2024-05-10T01:00:00Z,Galileo,28,10,9.45,10
2024-05-10T01:00:00Z,BeiDou,53,16,13.516666666666667,15
2024-05-10T01:00:00Z,NavIC,7,3,3.0,3
2024-05-10T01:00:00Z,QZSS,4,0,0.0,0
2024-05-10T01:00:00Z,Iridium,109,16,1.8333333333333333,3
2024-05-10T01:00:00Z,Globalstar,85,32,7.016666666666667,11
2024-05-10T01:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T01:00:00Z,Starlink,5920,1162,115.8,130
2024-05-10T01:00:00Z,OneWeb,634,125,21.1,25
2024-05-10T02:00:00Z,GPS,75,22,19.283333333333335,20
2024-05-10T02:00:00Z,GLONASS,143,51,43.78333333333333,45
2024-05-10T02:00:00Z,Galileo,28,10,9.516666666666667,10
2024-05-10T02:00:00Z,BeiDou,53,17,14.733333333333333,17
2024-05-10T02:00:00Z,NavIC,7,3,3.0,3
2024-05-10T02:00:00Z,QZSS,4,0,0.0,0
2024-05-10T02:00:00Z,Iridium,109,16,1.7666666666666666,4
2024-05-10T02:00:00Z,Globalstar,85,29,5.916666666666667,10
2024-05-10T02:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T02:00:00Z,Starlink,5920,1137,112.3,123
2024-05-10T02:00:00Z,OneWeb,634,120,19.833333333333332,23
2024-05-10T03:00:00Z,GPS,75,23,18.816666666666666,20
2024-05-10T03:00:00Z,GLONASS,143,48,41.166666666666664,45
2024-05-10T03:00:00Z,Galileo,28,11,8.716666666666667,10
2024-05-10T03:00:00Z,BeiDou,53,18,15.8,16
2024-05-10T03:00:00Z,NavIC,7,3,3.0,3
2024-05-10T03:00:00Z,QZSS,4,0,0.0,0
2024-05-10T03:00:00Z,Iridium,109,18,1.9333333333333333,4
2024-05-10T03:00:00Z,Globalstar,85,30,7.25,11
2024-05-10T03:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T03:00:00Z,Starlink,5920,1193,117.73333333333333,131
2024-05-10T03:00:00Z,OneWeb,634,124,20.666666666666668,25
2024-05-10T04:00:00Z,GPS,75,23,21.033333333333335,22
2024-05-10T04:00:00Z,GLONASS,143,45,39.483333333333334,43
2024-05-10T04:00:00Z,Galileo,28,9,6.966666666666667,8
2024-05-10T04:00:00Z,BeiDou,53,17,16.133333333333333,17
2024-05-10T04:00:00Z,NavIC,7,3,3.0,3
2024-05-10T04:00:00Z,QZSS,4,0,0.0,0
2024-05-10T04:00:00Z,Iridium,109,13,1.8333333333333333,5
2024-05-10T04:00:00Z,Globalstar,85,29,6.05,8
2024-05-10T04:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T04:00:00Z,Starlink,5920,1189,117.46666666666667,128
2024-05-10T04:00:00Z,OneWeb,634,121,20.15,23
2024-05-10T05:00:00Z,GPS,75,24,19.016666666666666,23
2024-05-10T05:00:00Z,GLONASS,143,43,36.36666666666667,38
2024-05-10T05:00:00Z,Galileo,28,8,7.683333333333334,8
2024-05-10T05:00:00Z,BeiDou,53,20,18.483333333333334,20
2024-05-10T05:00:00Z,NavIC,7,3,3.0,3
2024-05-10T05:00:00Z,QZSS,4,0,0.0,0
2024-05-10T05:00:00Z,Iridium,109,22,2.4833333333333334,5
2024-05-10T05:00:00Z,Globalstar,85,32,6.716666666666667,10
2024-05-10T05:00:00Z,Inmarsat,20,9,9.0,9
2024-05-10T05:00:00Z,Starlink,5920,1214,119.35,131
2024-05-10T05:00:00Z,OneWeb,634,129,21.566666666666666,27
2024-05-10T06:00:00Z,GPS,75,20,16.65,18
2024-05-10T06:00:00Z,GLONASS,143,46,34.416666666666664,39
2024-05-10T06:00:00Z,Galileo,28,8,7.05,8
2024-05-10T06:00:00Z,BeiDou,53,21,19.366666666666667,20
2024-05-10T06:00:00Z,NavIC,7,3,3.0,3
2024-05-10T06:00:00Z,QZSS,4,0,0.0,0
2024-05-10T06:00:00Z,Iridium,109,15,1.95,4
2024-05-10T06:00:00Z,Globalstar,85,29,6.833333333333333,9
2024-05-10T06:00:00Z,Inmarsat,20,10,9.533333333333333,10
2024-05-10T06:00:00Z,Starlink,5920,1223,122.01666666666667,134
2024-05-10T06:00:00Z,OneWeb,634,129,20.583333333333332,24
2024-05-10T07:00:00Z,GPS,75,21,17.95,19
2024-05-10T07:00:00Z,GLONASS,143,44,39.25,41
2024-05-10T07:00:00Z,Galileo,28,8,7.433333333333334,8
2024-05-10T07:00:00Z,BeiDou,53,21,18.2,20
2024-05-10T07:00:00Z,NavIC,7,3,3.0,3
2024-05-10T07:00:00Z,QZSS,4,0,0.0,0
2024-05-10T07:00:00Z,Iridium,109,18,2.2333333333333334,4
2024-05-10T07:00:00Z,Globalstar,85,27,6.183333333333334,9
2024-05-10T07:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T07:00:00Z,Starlink,5920,1328,131.81666666666666,148
2024-05-10T07:00:00Z,OneWeb,634,137,23.266666666666666,27
2024-05-10T08:00:00Z,GPS,75,23,20.633333333333333,22
2024-05-10T08:00:00Z,GLONASS,143,48,36.516666666666666,40
2024-05-10T08:00:00Z,Galileo,27,9,7.966666666666667,8
2024-05-10T08:00:00Z,BeiDou,53,19,16.633333333333333,18
2024-05-10T08:00:00Z,NavIC,7,3,3.0,3
2024-05-10T08:00:00Z,QZSS,4,0,0.0,0
2024-05-10T08:00:00Z,Iridium,109,10,1.6,3
2024-05-10T08:00:00Z,Globalstar,85,32,6.983333333333333,12
2024-05-10T08:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T08:00:00Z,Starlink,5920,1331,130.43333333333334,141
2024-05-10T08:00:00Z,OneWeb,634,138,23.466666666666665,27
2024-05-10T09:00:00Z,GPS,75,25,21.3,22
2024-05-10T09:00:00Z,GLONASS,143,50,37.416666666666664,41
2024-05-10T09:00:00Z,Galileo,27,9,7.883333333333334,9
2024-05-10T09:00:00Z,BeiDou,53,19,14.933333333333334,16
2024-05-10T09:00:00Z,NavIC,7,3,3.0,3
2024-05-10T09:00:00Z,QZSS,4,0,0.0,0
2024-05-10T09:00:00Z,Iridium,109,23,2.716666666666667,7
2024-05-10T09:00:00Z,Globalstar,85,36,7.5,12
2024-05-10T09:00:00Z,Inmarsat,20,10,10.0,10
2024-05-10T09:00:00Z,Starlink,5920,1286,122.96666666666667,141
